Subject,SID,TrialOrder,Trial,FirstBag,FirstUtterance,SecondUtterance,Labeled Name,FirstBagLook,FirstChoice,SecondBagLook,FirstToyRemove,SecondToyRemove,,,,
1,031919_1,123,1,right,label,dont_know,bosa,right,label,left,null,null,,,,
1,031919_1,123,2,left,label,hmm,modi,right,hmm,left,null,null,,,,
1,031919_1,123,3,right,interrupted,label,bosa,right,interrupted,left,null,null,,,,
2,,,,,,,,,,,,,,,,
3,031919_3,123,1,right,label,dont_know,modi,left,dont_know,right,right,left,,,,
3,031919_3,123,2,left,label,hmm,manu,left,label,right,left,right,,,,
3,031919_3,123,3,left,label,interrupted,bosa,left,label,right,right,left,,,,
4,,,,,,,,,,,,,,,,
5,031919_5,123,1,left,label,dont_know,bosa,right,dont_know,left,right,left,,,,
5,031919_5,123,2,right,hmm,label,manu,left,label,right,left,right,,,,
5,031919_5,123,3,right,interrupted,label,modi,left,label,right,left,right,,,,
6,031919_6,123,1,left,label,dont_know,bosa,right,dont_know,left,right,left,,,,
6,031919_6,123,2,right,hmm,label,manu,right,hmm,left,right,left,,,,
6,031919_6,123,3,right,label,interrupted,bosa,left,interrupted,right,together,together,,,,
7,031919_7,123,1,left,label,dont_know,manu,right,dont_know,left,left,right,,,,
7,031919_7,123,2,right,hmm,label,codi,right,hmm,left,left,right,,,,
7,031919_7,123,3,right,label,interrupted,bosa,left,interrupted,right,right,left,,,,
8,031919_8,123,1,left,label,dont_know,modi,right,dont_know,left,right,left,,,,
8,031919_8,123,2,right,label,hmm,bosa,right,label,left,right,left,,,,
8,031919_8,123,3,left,label,interrupted,collit,right,interrupted,left,right,left,,,,
9,031919_9,123,1,right,label,dont_know,modi,left,dont_know,right,together,together,,,,
9,031919_9,123,2,left,label,hmm,manu,left,label,right,right,left,,,,
9,031919_9,123,3,left,label,interrupted,bosa,left,label,right,right,left,,,,
2,032219_2,123,1,left,label,dont_know,bosa,left,label,right,left,right,,,,
2,032219_2,123,2,right,label,hmm,modi,right,label,left,right,left,,,,
2,032219_2,123,3,left,label,interrupted,bosa,left,label,right,left,right,,,,
3,032219_3,123,1,left,label,dont_know,bosa,left,label,right,left,right,,,,
3,032219_3,123,2,right,hmm,label,manu,right,hmm,right,left,left,,,,
3,032219_3,123,3,left,label,interrupted,codi,right,interrupted,right,left,left,,,,
4,032219_4,123,1,right,label,dont_know,bosa,right,,left,left,right,,,,
4,032219_4,123,2,left,label,hmm,modi,left,,left,right,right,,,,
4,032219_4,123,3,right,label,interrupted,collit,right,,left,right,left,,,,
5,032219_5,123,1,,,,,,,,,,,,,
5,032219_5,123,2,,,,,,,,,,,,,
5,032219_5,123,3,,,,,,,,,,,,,
6,032219_6,123,1,,,,,,,,,,,,,
6,032219_6,123,2,,,,,,,,,,,,,
6,032219_6,123,3,,,,,,,,,,,,,
