Subject,SID,Exclude,Age,ConditionOrder,Condition,Trial,FirstBag,FirstUtterance,SecondUtterance,Labeled Name,FirstBagLook,FirstChoice,SecondBagLook,FirstToyRemove,SecondToyRemove,LeftToy,RightToy,LeftToyTotalTime,RightToyTotalTime
1(ba1174),032519_1,Y: experimenter error,4.47,UHI,Unknown,1,right,label,dont_know,bosa,left,dont_know,right,left,right,,,,
1(ba1174),032519_1,Y: experimenter error,4.47,UHI,Huh,2,right,label,huh,modi,left,huh,right,right,left,,,,
1(ba1174),032519_1,Y: experimenter error,4.47,UHI,Interrupted,3,right,label,interrupted,collit,left,interrupted,right,right,left,,,,
2(ba1175),032519_2,Y: experimenter error,4.47,,,,,,,,,,,,,,,,
3(bb091),032519_3,Y: camera error,4.22,,,,,,,,,,,,,,,,
4(bb332),032519_4,Y: experimenter error,4.18,UHI,Unknown,1,left,label,dont_know,manu,right,dont_know,left,right,left,,,,
4(bb332),032519_4,Y: experimenter error,4.18,UHI,Huh,2,right,label,huh,regli,right,label,left,left,right,,,,
4(bb332),032519_4,Y: experimenter error,4.18,UHI,Interrupted,3,left,label,interrupted,bosa,right,interrupted,left,right,left,,,,
5(bb324),032519_5,N,3.67,HUI,Huh,1,left,label,huh,jeeter,left,label,right,right,left,F,D,,
5(bb324),032519_5,N,3.67,HUI,Unknown,2,right,dont_know,label,modi,left,label,right,left,right,E,I,,
5(bb324),032519_5,N,3.67,HUI,Interrupted,3,left,label,interrupted,bosa,right,interrupted,left,right,left,G,B,,
6(ba959),032519_6,Y: no show,5.23,,,,,,,,,,,,,,,,
7(ba1161),032519_7,N,3.56,UHI,Unknown,1,right,dont_know,label,modi,right,dont_know,left,right,left,I,B,,
7(ba1161),032519_7,N,3.56,UHI,Huh,2,left,label,huh,manu,right,huh,left,left,right,A,H,,
7(ba1161),032519_7,N,3.56,UHI,Interrupted,3,left,label,interrupted,stigson,right,interrupted,left,right,left,D,E,,
8(ba1089),032619_1,Y: experimenter error,4.6,UHI,Unknown,1,left,label,dont_know,bosa,right,dont_know,left,right,null,,,,
8(ba1089),032619_1,Y: experimenter error,4.6,UHI,Huh,2,left,huh,label,codi,right,label,left,left,null,,,,
8(ba1089),032619_1,Y: experimenter error,4.6,UHI,Interrupted,3,left,label,interrupted,stigson,right,interrupted,left,left,null,,,,
9(ba952),032619_2,Y: Experimenter error,5.14,,,,,,,,,,,,,,,,
10(ba850),032619_3,Y: experimenter error,5.02,UHI,Unknown,1,left,label,dont_know,bosa,right,dont_know,null,right,null,NA,E,,
10(ba850),032619_3,Y: experimenter error,5.02,UHI,Huh,2,left,label,huh,regli,right,huh,null,right,null,NA,G,,
10(ba850),032619_3,Y: experimenter error,5.02,UHI,Interrupted,3,left,label,interrupted,stigson,left,label,null,left,null,I,NA,,
11(ba987),032619_4,Y: no show,5,,,,,,,,,,,,,,,,
12(ba861),032619_5,Y: experimenter error,4.78,UHI,Unknown,1,left,label,dont_know,regli,left,label,right,left,right,G,E,,
12(ba861),032619_5,Y: experimenter error,4.78,UHI,Huh,2,right,label,huh,bosa,right,label,left,left,right,B,H,,
12(ba861),032619_5,Y: experimenter error,4.78,UHI,Interrupted,3,left,label,interrupted,modi,left,label,right,left,right,I,F,,
13(ba1110),032619_6,Y: experimenter error,4.86,UHI,Unknown,1,left,label,dont_know,modi,right,dont_know,left,right,left,H,F,,
13(ba1110),032619_6,Y: experimenter error,4.86,UHI,Huh,2,right,label,huh,bosa,right,label,left,right,left,A,D,,
13(ba1110),032619_6,Y: experimenter error,4.86,UHI,Interrupted,3,right,label,interrupted,stigson,left,interrupted,right,left,right,I,E,,
14(ba1131),032619_7,Y: experimenter error,5.17,UHI,Unknown,1,right,label,dont_know,modi,left,dont_know,right,right,left,E,D,,
14(ba1131),032619_7,Y: experimenter error,5.17,UHI,Huh,2,left,label,huh,bosa,left,label,right,left,right,A,H,,
14(ba1131),032619_7,Y: experimenter error,5.17,UHI,Interrupted,3,right,label,interrupted,stigson,right,label,left,right,left,G,B,,
15(bb341),032719_1,N,3.64,UHI,Unknown,1,right,label,dont_know,stigson,left,dont_know,right,left,right,D,H,,
15(bb341),032719_1,N,3.64,UHI,Huh,2,left,huh,label,bosa,left,huh,right,left,right,A,F,,
