LeftToyBid_1.ordinal,LeftToyBid_1.onset,LeftToyBid_1.offset,LeftToyBid_1.code01,LeftToyBid_2.ordinal,LeftToyBid_2.onset,LeftToyBid_2.offset,LeftToyBid_2.code01,LeftToyBid_3.ordinal,LeftToyBid_3.onset,LeftToyBid_3.offset,LeftToyBid_3.code01,LeftToyTouch_1.ordinal,LeftToyTouch_1.onset,LeftToyTouch_1.offset,LeftToyTouch_1.code01,LeftToyTouch_2.ordinal,LeftToyTouch_2.onset,LeftToyTouch_2.offset,LeftToyTouch_2.code01,LeftToyTouch_3.ordinal,LeftToyTouch_3.onset,LeftToyTouch_3.offset,LeftToyTouch_3.code01,RightToyBid_1.ordinal,RightToyBid_1.onset,RightToyBid_1.offset,RightToyBid_1.code01,RightToyBid_2.ordinal,RightToyBid_2.onset,RightToyBid_2.offset,RightToyBid_2.code01,RightToyBid_3.ordinal,RightToyBid_3.onset,RightToyBid_3.offset,RightToyBid_3.code01,RightToyTouch_1.ordinal,RightToyTouch_1.onset,RightToyTouch_1.offset,RightToyTouch_1.code01,RightToyTouch_2.ordinal,RightToyTouch_2.onset,RightToyTouch_2.offset,RightToyTouch_2.code01,RightToyTouch_3.ordinal,RightToyTouch_3.onset,RightToyTouch_3.offset,RightToyTouch_3.code01,
0,37434,38463,"q",0,118490,120801,"l",0,226624,227777,"l",0,40245,80036,"",0,118967,162826,"",0,226375,249832,"",0,22610,23083,"l",0,111894,113158,"l",0,215466,217275,"l",0,24300,34680,"",0,112461,113968,"",0,216321,222258,"",
1,39474,39930,"l",1,128146,129914,"q",1,228650,229712,"l",1,81532,82654,"",,,,,1,252913,256058,"",1,23086,24184,"q",1,114614,115807,"l",1,222394,223236,"l",1,51134,84728,"",1,164494,181186,"",1,252913,256241,"",
2,40057,40830,"q",2,130662,132184,"l",2,233478,234824,"q",,,,,,,,,,,,,2,30940,34397,"l",2,165206,166013,"l",,,,,,,,,,,,,,,,,
3,47668,49149,"q",3,132430,133646,"l",3,238578,239870,"q",,,,,,,,,,,,,3,34816,36666,"l",3,173536,175958,"l",,,,,,,,,,,,,,,,,
4,49912,50411,"l",4,137190,139434,"l",4,240584,242616,"l",,,,,,,,,,,,,4,49912,50411,"l",4,175544,176379,"q",,,,,,,,,,,,,,,,,
5,54502,55905,"q",5,143412,144602,"l",5,247404,249005,"l",,,,,,,,,,,,,5,53253,53253,"q",5,176528,178917,"l",,,,,,,,,,,,,,,,,
6,68102,68646,"l",6,147866,148478,"q",6,249696,250248,"l",,,,,,,,,,,,,6,54502,55905,"q",6,181322,182695,"l",,,,,,,,,,,,,,,,,
7,69258,70284,"q",7,148512,149272,"l",7,250376,251161,"l",,,,,,,,,,,,,7,68102,68646,"l",,,,,,,,,,,,,,,,,,,,,
8,70726,71803,"q",8,154394,155962,"l",,,,,,,,,,,,,,,,,8,69258,70284,"q",,,,,,,,,,,,,,,,,,,,,
9,76976,77350,"l",,,,,,,,,,,,,,,,,,,,,9,70726,71803,"q",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,76976,77350,"l",,,,,,,,,,,,,,,,,,,,,
